DATE,A067RO1Q156NBEA_PCH
2000-01-01,29.41176
2000-04-01,20.45455
2000-07-01,9.43396
2000-10-01,-20.68966
2001-01-01,-21.73913
2001-04-01,-36.11111
2001-07-01,47.82609
2001-10-01,-47.05882
2002-01-01,72.22222
2002-04-01,29.03226
2002-07-01,-60.00000
2002-10-01,118.75000
2003-01-01,-60.00000
2003-04-01,42.85714
2003-07-01,90.00000
2003-10-01,-10.52632
2004-01-01,8.82353
2004-04-01,-2.70270
2004-07-01,-30.55556
2004-10-01,44.00000
2005-01-01,-47.22222
2005-04-01,-10.52632
2005-07-01,-23.52941
2005-10-01,0.00000
2006-01-01,246.15385
2006-04-01,-15.55556
2006-07-01,0.00000
2006-10-01,0.00000
2007-01-01,-28.94737
2007-04-01,0.00000
2007-07-01,-7.40741
2007-10-01,-48.00000
2008-01-01,-46.15385
2008-04-01,228.57143
2008-07-01,-100.00000
2008-10-01,.
2009-01-01,-87.50000
2009-04-01,-700.00000
2009-07-01,-166.66667
2009-10-01,-225.00000
2010-01-01,-200.00000
2010-04-01,100.00000
2010-07-01,190.00000
2010-10-01,20.68966
2011-01-01,14.28571
2011-04-01,-47.50000
2011-07-01,-14.28571
2011-10-01,-11.11111
2012-01-01,50.00000
2012-04-01,50.00000
2012-07-01,-33.33333
2012-10-01,104.16667
2013-01-01,-124.48980
2013-04-01,8.33333
2013-07-01,-84.61538
2013-10-01,1150.00000
2014-01-01,-220.00000
2014-04-01,20.00000
2014-07-01,22.22222
2014-10-01,20.45455
2015-01-01,1.88679
2015-04-01,-20.37037
2015-07-01,-11.62791
2015-10-01,-18.42105
2016-01-01,-25.80645
2016-04-01,-13.04348
2016-07-01,-10.00000
2016-10-01,0.00000
2017-01-01,16.66667
2017-04-01,57.14286
2017-07-01,6.06061
2017-10-01,-2.85714
2018-01-01,5.88235
2018-04-01,-5.55556
2018-07-01,5.88235
2018-10-01,2.77778
2019-01-01,-13.51351
2019-04-01,-34.37500
2019-07-01,-14.28571
2019-10-01,-11.11111
2020-01-01,-12.50000
