DATE,BOGZ1FL075035503Q_PCH
2000-01-01,-2.10537
2000-04-01,-0.83746
2000-07-01,10.51417
2000-10-01,3.28275
2001-01-01,-0.67598
2001-04-01,-0.58195
2001-07-01,1.17705
2001-10-01,-3.17089
2002-01-01,0.07181
2002-04-01,0.34231
2002-07-01,1.15502
2002-10-01,2.50848
2003-01-01,5.22457
2003-04-01,-0.69086
2003-07-01,-1.26329
2003-10-01,-1.34162
2004-01-01,4.30997
2004-04-01,6.21959
2004-07-01,6.75497
2004-10-01,2.27072
2005-01-01,0.51027
2005-04-01,3.10792
2005-07-01,3.30501
2005-10-01,3.98248
2006-01-01,2.85083
2006-04-01,3.98601
2006-07-01,3.86050
2006-10-01,0.92676
2007-01-01,3.49528
2007-04-01,3.94010
2007-07-01,3.36770
2007-10-01,-0.14490
2008-01-01,-5.12607
2008-04-01,-4.51346
2008-07-01,2.82520
2008-10-01,-4.76486
2009-01-01,-3.47462
2009-04-01,-14.64709
2009-07-01,-10.53528
2009-10-01,-2.09123
2010-01-01,-2.73190
2010-04-01,8.46807
2010-07-01,0.45061
2010-10-01,0.27463
2011-01-01,2.45365
2011-04-01,0.55030
2011-07-01,-2.47290
2011-10-01,4.41837
2012-01-01,2.62821
2012-04-01,-1.26583
2012-07-01,2.29530
2012-10-01,0.66106
2013-01-01,2.15579
2013-04-01,4.83583
2013-07-01,5.54474
2013-10-01,1.61911
2014-01-01,-1.31831
2014-04-01,2.63784
2014-07-01,2.02049
2014-10-01,3.56815
2015-01-01,5.67845
2015-04-01,1.35952
2015-07-01,0.90972
2015-10-01,0.20669
2016-01-01,-3.03894
2016-04-01,1.70310
2016-07-01,4.66905
2016-10-01,1.31710
2017-01-01,-0.92655
2017-04-01,3.23058
2017-07-01,1.75511
2017-10-01,3.43995
2018-01-01,-1.76163
2018-04-01,5.11611
2018-07-01,-2.88449
2018-10-01,0.44123
2019-01-01,2.98372
2019-04-01,4.91664
2019-07-01,2.49068
2019-10-01,-2.43859
2020-01-01,0.20863

