DATE,TOTBUSMPCIMSA
2000-01-01,0.40000000000000000000
2000-04-01,0.70000000000000000000
2000-07-01,0.26666666666666666667
2000-10-01,0.33333333333333333333
2001-01-01,-0.26666666666666666667
2001-04-01,-0.36666666666666666667
2001-07-01,-0.43333333333333333333
2001-10-01,-1.13333333333333333333
2002-01-01,-0.30000000000000000000
2002-04-01,0.16666666666666666667
2002-07-01,0.46666666666666666667
2002-10-01,0.30000000000000000000
2003-01-01,0.30000000000000000000
2003-04-01,-0.20000000000000000000
2003-07-01,-0.16666666666666666667
2003-10-01,0.30000000000000000000
2004-01-01,0.56666666666666666667
2004-04-01,0.76666666666666666667
2004-07-01,0.60000000000000000000
2004-10-01,0.63333333333333333333
2005-01-01,0.73333333333333333333
2005-04-01,0.16666666666666666667
2005-07-01,0.20000000000000000000
2005-10-01,0.80000000000000000000
2006-01-01,0.66666666666666666667
2006-04-01,0.86666666666666666667
2006-07-01,0.50000000000000000000
2006-10-01,0.30000000000000000000
2007-01-01,0.26666666666666666667
2007-04-01,0.60000000000000000000
2007-07-01,0.33333333333333333333
2007-10-01,0.63333333333333333333
2008-01-01,0.40000000000000000000
2008-04-01,0.43333333333333333333
2008-07-01,0.03333333333333333333
2008-10-01,-1.4000000000000000
2009-01-01,-1.3666666666666667
2009-04-01,-1.23333333333333333333
2009-07-01,-0.96666666666666666667
2009-10-01,0.40000000000000000000
2010-01-01,0.43333333333333333333
2010-04-01,0.46666666666666666667
2010-07-01,0.96666666666666666667
2010-10-01,1.03333333333333333333
2011-01-01,0.86666666666666666667
2011-04-01,0.83333333333333333333
2011-07-01,0.23333333333333333333
2011-10-01,0.63333333333333333333
2012-01-01,0.56666666666666666667
2012-04-01,0.36666666666666666667
2012-07-01,0.63333333333333333333
2012-10-01,0.30000000000000000000
2013-01-01,0.30000000000000000000
2013-04-01,0.03333333333333333333
2013-07-01,0.46666666666666666667
2013-10-01,0.53333333333333333333
2014-01-01,0.46666666666666666667
2014-04-01,0.36666666666666666667
2014-07-01,0.26666666666666666667
2014-10-01,0.16666666666666666667
2015-01-01,0.16666666666666666667
2015-04-01,0.36666666666666666667
2015-07-01,0.13333333333333333333
2015-10-01,-0.06666666666666666667
2016-01-01,0.03333333333333333333
2016-04-01,0.20000000000000000000
2016-07-01,0.06666666666666666667
2016-10-01,0.33333333333333333333
2017-01-01,0.26666666666666666667
2017-04-01,0.20000000000000000000
2017-07-01,0.33333333333333333333
2017-10-01,0.33333333333333333333
2018-01-01,0.40000000000000000000
2018-04-01,0.20000000000000000000
2018-07-01,0.46666666666666666667
2018-10-01,0.46666666666666666667
2019-01-01,0.40000000000000000000
2019-04-01,0.23333333333333333333
2019-07-01,0.03333333333333333333
2019-10-01,-0.06666666666666666667
2020-01-01,-0.30000000000000000000
