DATE,WPU057303_PCH
2000-01-01,18.90618
2000-04-01,0.15860
2000-07-01,15.75614
2000-10-01,10.12312
2001-01-01,-15.34161
2001-04-01,-1.06383
2001-07-01,-5.37634
2001-10-01,-20.29781
2002-01-01,-7.27630
2002-04-01,19.24708
2002-07-01,11.29391
2002-10-01,8.27008
2003-01-01,29.44649
2003-04-01,-20.18244
2003-07-01,0.14286
2003-10-01,5.24251
2004-01-01,9.35276
2004-04-01,10.04029
2004-07-01,12.36271
2004-10-01,15.68922
2005-01-01,0.49827
2005-04-01,14.98168
2005-07-01,13.04837
2005-10-01,10.91211
2006-01-01,-10.31699
2006-04-01,19.52317
2006-07-01,-3.89176
2006-10-01,-13.25109
2007-01-01,-0.51865
2007-04-01,16.39758
2007-07-01,4.16125
2007-10-01,13.49702
2008-01-01,12.36861
2008-04-01,28.81227
2008-07-01,-5.35337
2008-10-01,-39.87867
2009-01-01,-33.52129
2009-04-01,17.16518
2009-07-01,8.61116
2009-10-01,9.38432
2010-01-01,6.12572
2010-04-01,5.40949
2010-07-01,-2.90998
2010-10-01,11.94449
2011-01-01,16.20944
2011-04-01,13.71014
2011-07-01,-4.89071
2011-10-01,0.60867
2012-01-01,3.83853
2012-04-01,-3.50578
2012-07-01,0.47887
2012-10-01,2.79735
2013-01-01,-0.99778
2013-04-01,-5.24280
2013-07-01,3.01891
2013-10-01,-1.96058
2014-01-01,0.90416
2014-04-01,-0.48493
2014-07-01,-2.86017
2014-10-01,-14.32933
2015-01-01,-27.80041
2015-04-01,3.15585
2015-07-01,-5.55461
2015-10-01,-14.63988
2016-01-01,-25.37630
2016-04-01,20.28409
2016-07-01,11.12423
2016-10-01,1.06270
2017-01-01,2.18717
2017-04-01,4.54826
2017-07-01,12.73622
2017-10-01,15.41819
2018-01-01,2.98033
2018-04-01,9.34332
2018-07-01,3.95002
2018-10-01,-0.58162
2019-01-01,-14.36557
2019-04-01,2.79338
2019-07-01,-4.65219
2019-10-01,4.50743
2020-01-01,-14.40640
